CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
SV Werder Bremen,26,"26,0",2,-,-,1969
Hertha BSC,26,"25,0",3,-,-,1969
Eintracht Braunschweig,19,"26,9",0,-,-,1969
FC Bayern München,18,"24,6",2,-,-,1970
VfB Stuttgart,22,"25,6",2,-,-,1970
1.FC Kaiserslautern,23,"25,3",2,-,-,1970
FC Schalke 04,21,"23,8",2,-,-,1970
SV Werder Bremen,22,"26,1",1,-,-,1970
1.FC Köln,18,"26,6",2,-,-,1970
Hamburger SV,25,"25,9",2,-,-,1970
Kickers Offenbach,22,"23,8",0,-,-,1970
Arminia Bielefeld,22,"25,8",1,-,-,1970
Hannover 96,30,"25,9",1,-,-,1970
Borussia Dortmund,26,"25,7",1,-,-,1970
Hertha BSC,23,"25,5",2,-,-,1970
Borussia Mönchengladbach,17,"24,7",1,-,-,1970
MSV Duisburg,25,"25,3",1,-,-,1970
Eintracht Braunschweig,18,"26,9",0,-,-,1970
Rot-Weiss Essen,22,"25,1",2,-,-,1970
Eintracht Frankfurt,23,"24,3",0,-,-,1970
Rot-Weiß Oberhausen,22,"25,3",1,-,-,1970
FC Bayern München,19,"24,3",2,-,-,1971
VfB Stuttgart,17,"24,7",2,-,-,1971
1.FC Kaiserslautern,19,"25,4",1,-,-,1971
FC Schalke 04,20,"22,5",2,-,-,1971
VfL Bochum,21,"25,2",0,-,-,1971
1.FC Köln,21,"24,6",0,-,-,1971
Fortuna Düsseldorf,20,"26,8",0,-,-,1971
SV Werder Bremen,20,"27,0",0,-,-,1971
Arminia Bielefeld,22,"24,5",1,-,-,1971
Hamburger SV,22,"25,7",2,-,-,1971
Borussia Dortmund,22,"24,3",1,-,-,1971
Hannover 96,21,"25,3",0,-,-,1971
Borussia Mönchengladbach,25,"22,8",1,-,-,1971
Hertha BSC,26,"25,3",2,-,-,1971
Eintracht Braunschweig,18,"26,1",0,-,-,1971
MSV Duisburg,21,"24,5",1,-,-,1971
Eintracht Frankfurt,23,"24,8",2,-,-,1971
Rot-Weiß Oberhausen,23,"24,7",0,-,-,1971
Fortuna Düsseldorf,21,"25,6",1,-,-,1972
SV Werder Bremen,25,"25,8",1,-,-,1972
1.FC Kaiserslautern,22,"24,6",1,-,-,1972
Hamburger SV,26,"24,2",2,-,-,1972
Kickers Offenbach,17,"24,4",2,-,-,1972
1.FC Köln,23,"24,1",1,-,-,1972
Hannover 96,23,"24,9",2,-,-,1972
Wuppertaler SV Borussia,19,"26,4",0,-,-,1972
Borussia Mönchengladbach,26,"23,6",3,-,-,1972
Hertha BSC,21,"24,7",2,-,-,1972
Eintracht Braunschweig,21,"25,6",2,-,-,1972
MSV Duisburg,24,"23,7",1,-,-,1972
Eintracht Frankfurt,24,"25,6",2,-,-,1972
Rot-Weiß Oberhausen,22,"26,5",0,-,-,1972
FC Bayern München,23,"23,7",3,-,-,1972
VfB Stuttgart,23,"24,3",1,-,-,1972
FC Schalke 04,24,"22,0",1,-,-,1972
VfL Bochum,26,"25,1",0,-,-,1972
SC Fortuna Köln,17,"25,2",2,-,-,1973
Kickers Offenbach,23,"24,4",2,-,-,1973
Wuppertaler SV Borussia,19,"27,3",0,-,-,1973
MSV Duisburg,20,"23,6",1,-,-,1973
Eintracht Frankfurt,18,"24,6",1,-,-,1973
Rot-Weiss Essen,22,"26,2",2,-,-,1973
VfL Bochum,21,"24,0",1,-,-,1973
Fortuna Düsseldorf,19,"26,1",0,-,-,1973
FC Bayern München,26,"24,0",5,-,-,1973
Hannover 96,22,"25,3",1,-,-,1973
1.FC Kaiserslautern,19,"25,5",2,-,-,1973
Hamburger SV,24,"25,4",2,-,-,1973
1.FC Köln,20,"23,9",1,-,-,1973
VfB Stuttgart,20,"24,4",1,-,-,1973
SV Werder Bremen,20,"24,8",2,-,-,1973
FC Schalke 04,28,"23,1",0,-,-,1973
Borussia Mönchengladbach,21,"24,4",2,-,-,1973
Hertha BSC,21,"25,6",1,-,-,1973
Fortuna Düsseldorf,18,"26,7",0,-,-,1974
Tennis Borussia Berlin,22,"25,5",1,-,-,1974
1.FC Kaiserslautern,21,"25,3",2,-,-,1974
Hamburger SV,22,"25,3",3,-,-,1974
Kickers Offenbach,22,"24,6",2,-,-,1974
1.FC Köln,24,"24,0",2,-,-,1974
Hertha BSC,21,"24,9",2,-,-,1974
Wuppertaler SV Borussia,27,"25,7",2,-,-,1974
Borussia Mönchengladbach,22,"23,9",3,-,-,1974
MSV Duisburg,20,"23,6",1,-,-,1974
Eintracht Braunschweig,17,"26,9",1,-,-,1974
Rot-Weiss Essen,18,"26,2",2,-,-,1974
Eintracht Frankfurt,19,"25,3",0,-,-,1974
VfB Stuttgart,23,"24,7",1,-,-,1974
FC Bayern München,22,"24,0",3,-,-,1974
